Valuation Date,Year,Month,Rev,Profit or Loss,WageExp,AdSpend,BankFees,DepExp,Rent,Supplies,Utils,PayrollTax,OthExp,ReturnAllow,CGS
2022-01-31,2022,1,1163004.7626003218,-150036.97027281858,301110.8890650203,135976.98680559167,29813.081539349765,50348.49288104734,95080.26400149536,40367.392399774944,14013.20921046134,82404.20480674204,56295.257626554674,12597.335013461017,495034.61952364165
2022-02-28,2022,2,1197085.08985946,-179335.5843876442,354539.79193679243,96467.25295621721,28464.960167401936,52020.21510773067,90436.97559044264,17423.476264516168,19772.924333628496,84415.33264307326,26193.675710155698,54583.17718723789,552102.8923499078
2022-03-31,2022,3,1052492.5454884253,2307.1807662590872,247979.99649510838,113099.61049259602,19534.480061901882,33479.66377974447,84508.60371148698,42395.27940374541,19902.941393350367,80797.2968152678,46022.56196591194,13487.067047008733,348977.8635560442
2022-04-30,2022,4,1115138.6522657862,19177.017001335276,272262.9167179095,78748.22787359453,20564.02115178961,31585.303706261166,76749.65140753853,6123.977196381264,14214.985406513973,87412.35357850522,59212.97338510379,539.1196564644904,448548.10518438905
2022-05-31,2022,5,1270904.6210790677,-70733.64109106362,307862.95010102255,102871.83603254284,23133.44613625353,74405.41815524914,108670.48709871908,29816.59710205643,10520.536211314016,92756.526769645,79455.92404592391,61118.1552616613,451026.3852557436
2022-06-30,2022,6,1086191.520880105,-46053.297296405304,275328.9561650662,83753.15384870795,18286.79151739292,42010.32070468489,74925.23914110435,32369.5411675512,22303.250971023495,84287.72440722403,55925.666221532,36087.539415735526,406966.6346164877
2022-07-31,2022,7,982394.7535401327,-124642.60681030015,251992.88155211377,106642.74033906424,23370.686247566242,45033.29326376825,73826.34831643986,15416.567647219468,26036.707724399275,77160.18718958275,64738.23780937132,21390.904476268384,401428.80578463926
2022-08-31,2022,8,836094.2890235812,-5385.657291700132,176427.65740115457,78457.72091332442,22840.963242478814,17613.55060051787,74339.54928206048,10134.285379397083,16191.216669770874,58331.849383907254,33821.99891624376,17105.102914982694,336216.0516114434
2022-09-30,2022,9,831283.369576506,-47004.378840625635,176485.1675110117,52927.030739935995,10425.577043872963,49188.36888568783,65666.59373861647,27995.893389397657,18740.22638205668,58994.61246214909,40988.06945252868,21828.622694604077,355047.5861172704
2022-10-31,2022,10,903559.9753541182,-100508.4635214106,260505.47744507063,107943.81496666622,14821.350416572657,56199.88434497931,67197.00848561291,29921.18915953544,11595.833386338561,65760.06070193033,40286.77354560448,-1508.1280083596628,351345.1744315781
2022-11-30,2022,11,1049268.8508592118,-56115.18941154494,237997.67515299952,99824.53871265342,27749.421794681122,44779.69741754756,67548.15677932033,19127.99584112286,24611.742636895153,77409.70800135113,56167.18837228841,24880.50248301956,425287.41307887755
2022-12-31,2022,12,1016901.1358037627,-107543.57922548533,266892.88199773076,112678.58836789842,15476.128684945154,48108.87453573989,66087.8400520853,46924.469997606866,22327.331758318156,70249.40867375008,51926.68512369809,29764.018032124735,394008.4878053507
2023-01-31,2023,1,1319873.9320489226,-10555.863384267781,298372.84151641943,150986.68711999024,23107.01945688519,47261.643107991884,90521.46494369904,21859.607753985685,26733.314584193144,93336.83489504822,45392.26770653995,43640.65187117007,489217.46247726766
2023-02-28,2023,2,1307596.539102946,-101290.76442923234,313703.0168047978,121349.14735542184,18720.58241156325,87454.90938738009,84221.74537514792,22515.250958761317,25408.851009191694,112302.58242819311,90727.39606098538,42840.983471663254,489642.8382690727
2023-03-31,2023,3,1501697.6840557982,-237004.7595282162,398270.8928472374,120045.79004098162,29265.7515443086,105639.1407962261,138668.3324002938,71597.61057198438,37871.60570742148,111872.7541337908,69395.00825426714,66817.55781772082,589257.9994697822
2023-04-30,2023,4,1351281.2477324596,-157565.4475155999,359606.38010674727,117817.07240607966,26271.43059894076,71188.26263926472,105022.52026765612,27447.192737770805,26349.113781815857,103298.83933643895,69549.16350300588,62210.10397601587,540086.6158943236
2023-05-31,2023,5,1407908.3657092485,-109264.75973644713,278435.34712585283,150949.00713879245,20501.40643290554,76846.14943531914,117945.6023267779,83047.1770926605,33519.57343629308,103309.21826987115,80927.39279943047,27880.84002780511,543811.4113599876
2023-06-30,2023,6,1028456.4979734031,-147570.64533424738,291213.4818870529,69703.5405905292,27691.407846248258,48692.447195962275,76517.62018987873,45941.32766818496,15695.182604496336,77053.41421646644,50971.7001377236,42373.948105837786,430173.07286526996
2023-07-31,2023,7,821833.6323386302,-42330.0799752787,201372.86252132017,75185.71959006229,13008.802823927606,43737.39328995926,77582.02669095111,23435.142256465206,9722.322627443644,54213.880349254105,26598.372399329135,22319.338884476863,316987.85088071943
2023-08-31,2023,8,1213405.6077136735,-127618.28487496614,337087.54552116455,82865.02242199062,38598.1344623164,65514.597398982005,107661.4057729145,29982.27940640916,16580.787372825187,84469.42094866835,67038.62938818679,32795.02714901743,478431.0427461645
2023-09-30,2023,9,1061881.0871888339,-123486.75299158599,266103.76617806376,102754.00522109556,18621.211590512074,39639.943416234724,97337.38891426267,-6737.54229571332,30794.296618445227,81074.1497153876,66168.73832908561,43664.332436816345,445947.5500562297
2023-10-31,2023,10,930624.0213990575,-80875.00344294519,214512.76275073245,99745.93953663002,20289.001122964688,50205.26838293011,52952.829274554635,39700.34465696374,22684.622635982596,68057.55455603021,44537.3166249938,18820.10324071398,379993.2820595066
2023-11-30,2023,11,1054385.1920127957,-87583.86910390644,264063.63888549135,77641.23378961021,16323.104454404072,30379.65013184317,104128.3973235092,43786.39568862285,19785.19277480374,64014.833489617144,64656.437527615715,53592.05153990681,403598.12551127793
2023-12-31,2023,12,1171273.1216017841,-139781.04877516418,295113.7537464604,115281.6323297837,23574.01387779593,69571.19380595005,124648.92015340427,27287.97680911267,20455.314104847454,80710.77886381591,53533.60277814728,23858.02860744158,477018.9553001889
2024-01-31,2024,1,1606765.5776558095,-189329.06896173372,438577.873610498,142381.18483313994,28558.26171521283,77714.3685621826,150031.7877040274,80162.0949089764,21417.387342066606,113989.57287234554,68152.6580064888,73455.9244287724,601653.5326338327
